number	operon	min.cor	min.tiling.score	broken.manually	broken.auto	broken.auto.score
137	VNG1493G VNG1494G VNG1496G VNG1498G	-0.28	-168.24	TRUE	TRUE	1.00
139	VNG1514H VNG1515G	-0.12	-88.43	TRUE	TRUE	1.00
140	VNG1529G VNG1530H	-0.11	-19.24	FALSE	TRUE	0.82
145	VNG1572C VNG1573G VNG1574G VNG1576G	0.13	-122.77	FALSE	TRUE	1.00
150	VNG1631G VNG1632G VNG1634G VNG1635G	0.09	-197.16	TRUE	TRUE	1.00
151	VNG1646G VNG1647G VNG1648G VNG1649G	0.76	-103.03	FALSE	TRUE	1.00
155	VNG1681C VNG1682C VNG1684G	0.59	-106.97	FALSE	TRUE	1.00
156	VNG1688C VNG1689G VNG1690G VNG1691G VNG1692G VNG1693G VNG1695G VNG1697G VNG1698G VNG1699C VNG1700G VNG1701G VNG1702G VNG1703G VNG1705G VNG1706G VNG1707G VNG1709G VNG1711G VNG1713G VNG1714G VNG1715G VNG1716G VNG1718G VNG1719G	0.73	-113.65	FALSE	TRUE	1.00
157	VNG1727G VNG1729G	0.62	-99.71	FALSE	TRUE	1.00
159	VNG1739G VNG1740C	0.17	-129.79	TRUE	TRUE	1.00
161	VNG1767G VNG1768G	0.82	-111.99	TRUE	TRUE	1.00
162	VNG1774G VNG1775C VNG1776G	0.45	-165.62	TRUE	TRUE	1.00
165	VNG1827H VNG1829G VNG1830G	0.42	-104.59	FALSE	TRUE	1.00
168	VNG1850G VNG1851G	-0.18	-168.93	TRUE	TRUE	1.00
173	VNG1900C VNG1901C	0.10	-86.22	TRUE	TRUE	1.00
176	VNG1933G VNG1934H VNG1935C VNG1937C	-0.54	-122.93	FALSE	TRUE	1.00
185	VNG2003G VNG2005G	0.33	-103.72	TRUE	TRUE	1.00
186	VNG2006C VNG2008H VNG2010G	-0.37	-198.00	TRUE	TRUE	1.00
188	VNG2043G VNG2044H	0.36	-131.82	TRUE	TRUE	1.00
189	VNG2045G VNG2047G VNG2048G	0.82	-115.28	TRUE	TRUE	1.00
191	VNG2060G VNG2062G	0.40	-85.06	FALSE	TRUE	0.97
193	VNG2075C VNG2076G	-0.26	-119.05	TRUE	TRUE	1.00
194	VNG2082G VNG2081H	0.19	-115.66	TRUE	TRUE	1.00
196	VNG2099C VNG2100G	-0.66	-141.03	TRUE	TRUE	1.00
197	VNG2117C VNG2118G VNG2119C	-0.08	-138.56	TRUE	TRUE	1.00
198	VNG2125G VNG2126C VNG2128C	-0.38	-23.17	TRUE	TRUE	1.00
199	VNG2133H VNG2135G	0.75	-111.87	TRUE	TRUE	1.00
200	VNG2138G VNG2139G VNG2140G VNG2141G VNG2142G VNG2143G VNG2144G VNG2146H	0.64	-118.37	FALSE	TRUE	1.00
202	VNG2191H VNG2193G VNG2195G	0.65	-94.71	TRUE	TRUE	0.99
204	VNG2208G VNG2210G VNG2211H	0.38	-141.27	TRUE	TRUE	1.00
205	VNG2216G VNG2217G VNG2218G VNG2219G VNG2220G	0.17	-198.00	TRUE	TRUE	1.00
207	VNG2284G VNG2285C	0.35	-108.69	TRUE	TRUE	1.00
215	VNG2338G VNG2339C	-0.05	-99.54	FALSE	TRUE	1.00
216	VNG2342H VNG2343G VNG2344G VNG2346G VNG2347G	0.49	-114.90	TRUE	TRUE	1.00
219	VNG2377G VNG2378G	0.71	-76.04	FALSE	TRUE	0.79
221	VNG2395C VNG2396G VNG2397G	-0.03	-145.23	FALSE	TRUE	1.00
229	VNG2462G VNG2465C	0.81	-100.72	TRUE	TRUE	1.00
230	VNG2466C VNG2467G VNG2469G	-0.66	-20.33	FALSE	TRUE	1.00
232	VNG2471G VNG2472G	0.29	-99.24	FALSE	TRUE	1.00
233	VNG2474C VNG2475C	0.65	-74.67	FALSE	TRUE	0.76
239	VNG2526G VNG2527G VNG2529G VNG2531G	0.47	-198.00	TRUE	TRUE	1.00
240	VNG2533G VNG2536C	0.27	-135.67	TRUE	TRUE	1.00
242	VNG2558G VNG2560G	0.80	-71.46	FALSE	TRUE	0.68
245	VNG2604G VNG2606G	0.81	-100.39	FALSE	TRUE	1.00
246	VNG2612G VNG2613H	0.86	-101.34	FALSE	TRUE	1.00
248	VNG2642H VNG2643H	0.47	-113.03	FALSE	TRUE	1.00
251	VNG2661G VNG2662G VNG2664G VNG2665G VNG2666G VNG2668G	0.50	-103.74	FALSE	TRUE	1.00
252	VNG5180G VNG5181G	0.65	-87.16	TRUE	TRUE	0.96
255	VNG6171H VNG6173C	0.59	-102.28	FALSE	TRUE	1.00
265	VNG6315G VNG6316G	0.82	-103.33	TRUE	TRUE	1.00
