gene,-40_ura3_A,-40_ura3_B,-20_ura3_A,-20_ura3_B,0_ura3_A,0_ura3_B,10_ura3_A,10_ura3_B,20_ura3_A,20_ura3_B,20_ura3_B.1,40_ura3_A,40_ura3_B,60_ura3_A,60_ura3_B,80_ura3_A,80_ura3_B,-40_0258_A,-40_0258_B,-20_0258_A,-20_0258_B,0_0258_A,0_0258_B,10_0258_A,10_0258_B,20_0258_A,40_0258_A,40_0258_B,60_0258_A,60_0258_B,80_0258_A,80_0258_B
VNG0016H,0.008134169,-0.040243609,-0.08772512,-0.001384572,-0.064330828,-0.008014434,-0.04421809,0.001995356,-0.06086479,0.05767681,0.059807254,-0.056510055,0.012482563,-0.083179774,-0.060410926,0.061405404,0.059741987,-0.009642669,-0.085194432,-0.043966433,0.067780164,-0.088999993,-0.064594939,-0.138164279,0.010225869,-0.063933416,-0.092912178,-0.011051542,0.023850146,-0.006939529,-0.02393899,0.051624344
VNG0017H,0.073767875,-0.052083903,-0.051327788,0.00654697,-0.049564932,-0.006721071,-0.03013454,-0.07558825,-0.019625422,0.028643149,-0.013310334,-0.006576383,-0.004797104,-0.064709214,0.019098774,0.052389774,0.094648443,0.013522986,-0.009717802,0.022876188,-0.094339926,-0.083383854,-0.097674811,-0.165826139,-0.083014698,-0.061404485,-0.045357917,-0.016820908,0.045893608,-0.00750086,0.078263902,0.036362504
VNG0018H,-0.117019077,-0.071429186,0.007290538,0.057021082,-0.005473582,-0.067817074,-0.05209286,-0.140847444,-0.122709756,0.03366943,0.00795535,-0.043022694,0.070986762,-0.023328763,-0.037717348,0.019608612,-0.061302477,0.06500555,0.005573348,0.024002581,-0.099778231,-0.131886304,-0.071815482,-0.154079008,-0.030710272,-0.025120118,-0.059573472,0.011337105,0.027639035,0.107653731,0.047632948,0.146001079
VNG0019H,0.004996386,-0.028027948,-0.019925783,0.056914207,-0.010428084,-0.076598604,-0.08154664,-0.099142321,-0.146392457,0.026476475,0.049689013,7.23E-05,0.133050296,-0.01198852,-0.006241284,0.002231892,0.093541322,-0.010729924,-0.008159269,-0.025714254,0.035756216,-0.125868026,-0.040880158,-0.074029648,0.018613639,0.02252422,-0.04222401,0.002022648,0.027539648,0.114248825,0.024400956,0.034877805
VNG0020H,0.295942142,0.012567421,0.033082375,0.038766647,0.010256637,0.005596873,-0.082514329,-0.108959104,-0.023270085,-0.210667365,-0.039508324,0.097390647,0.040364302,0.100600108,-0.022121081,0.074610401,0.2142416,-0.059897745,-0.033251867,-0.011921226,0.048432068,-0.074459015,0.137061819,-0.10701316,-0.063217387,-0.102849047,-0.070836311,-0.048337588,-0.100969819,-0.055367262,-0.092502907,-0.144943077
VNG0021H,-0.055046063,-0.007051633,-0.074143721,0.00213687,-0.046338141,-0.04959777,-0.0707601,-0.152384105,-0.072017541,-0.027488305,0.010904571,-0.048273301,-0.031706467,-0.023590118,-0.009072998,-0.020938218,0.009767938,0.01987963,-0.098554136,-0.073758959,-0.112744724,-0.160241235,-0.148197883,-0.15137374,-0.088118547,-0.025797806,-0.047372535,-0.021063863,0.07233866,0.128239038,0.051783386,0.029332026
VNG0022H,0.314348282,-0.002374187,0.040438129,-0.046330546,-0.068549486,-0.007763754,-0.042288076,-0.081238968,-0.084168569,-0.086946557,-0.090146653,-0.050445766,-0.170186287,0.027587024,-0.101130257,0.001426521,0.159138806,-0.035670809,-0.035254637,0.04400619,0.062031587,0.009568176,-0.071208233,-0.150106858,-0.145205281,-0.064275585,-0.09263266,-0.142554018,-0.053332586,-0.192023106,-0.141956301,-0.145068069
VNG0023H,0.087174228,0.01714318,0.002224244,0.017546842,-0.013064494,0.028704254,-0.033833332,-0.007039674,-0.063175016,-0.147945231,-0.046005926,0.060838125,-0.061193246,-0.035599511,-0.071282505,-0.021297748,0.036048718,0.037115169,-0.009818912,0.069431024,-0.015554175,-0.035387957,0.020160546,-0.12014673,-0.110680046,-0.082212403,-0.018941764,0.004290656,0.006506251,-0.045608082,-0.087849755,-0.093531088
VNG0024H,0.264060502,-0.047861141,0.049155732,-0.013969976,-0.050261368,-0.01329912,0.001101194,-0.062249878,-0.085844228,-0.052965481,0.038179219,-0.0581008,-0.025515832,-0.018728941,-0.075064586,-0.008326641,0.117125392,-0.02438774,0.032229416,0.045333767,0.107618405,-0.03147235,0.099499313,-0.067387882,-0.027958845,-0.015790867,-0.035329831,-0.026619903,0.049661555,-0.029515832,-0.038155797,-0.101175182
VNG0025H,-0.026618857,-0.001619338,-0.045089672,0.075859932,-0.091676832,-0.013571708,0.012106051,-0.1110362,-0.088748764,0.051263254,-0.026569951,0.017979668,-0.021886583,-0.035188358,0.013664575,0.04580895,0.032463642,0.10609264,0.012109153,0.042404277,-0.104287695,-0.115310736,-0.091497885,-0.216308575,-0.18622722,0.019663066,-0.054229211,-0.00595633,0.10043141,0.049938246,0.013309637,0.076271241
VNG0026C,-0.16896807,-0.045492753,-0.048669137,0.01704526,-0.05452607,-0.099370813,0.005165329,-0.130122611,0.066470226,0.093376957,0.056424212,0.045650805,0.100379672,0.018130579,0.061464243,0.08905356,-0.028142393,0.220846212,0.001075953,0.012285326,-0.175305211,-0.170320476,-0.150671203,-0.140131601,-0.106268066,0.077583839,0.042156383,0.056204487,0.257123235,0.283451186,0.124489688,0.201062281
VNG0027H,-0.139335181,-0.048099434,-0.054446204,0.032200685,-0.072597861,-0.131494622,-0.046523412,-0.117577948,-0.11572247,0.0615344,0.068700002,0.01383549,0.03489629,-0.127089928,-0.032314624,-0.051481057,-0.099543755,-0.020933753,0.098169482,-0.129007428,-0.091141167,-0.121746416,-0.173202533,-0.154167183,0.133046978,-0.046073652,-0.019122678,0.049694173,0.040014405,0.254090579,0.112422476,0.074399694
VNG0028C,-0.279002845,-0.030262952,0.06879706,0.111980663,0.016729407,-0.155385758,-0.024152652,-0.111346973,-0.151070235,0.151330664,0.065194691,0.034272442,0.134074996,-0.049229017,0.09025396,0.100693133,-0.093440916,0.038789647,0.17580545,-0.020598232,-0.147591278,-0.202272611,-0.091930564,-0.02296521,-0.050367059,0.037160872,-0.028394998,0.002562247,0.07863597,0.160407223,0.19546009,0.149599716
VNG0029H,-0.166376287,0.006896861,-0.154887652,0.163955938,-0.114348169,-0.120280407,-0.187086442,0.016522483,-0.184278555,0.293393581,0.220838838,-0.0684408,0.012409013,-0.436355495,-0.117529611,-0.209097672,-0.182301585,0.2030212,-0.014107298,-0.010810909,-0.199867621,-0.243092964,-0.218292837,-0.243721665,-0.119135051,0.024548195,-0.011800736,0.158777521,0.359354061,0.39477671,0.245918485,0.499466937
VNG0030H,-0.077904993,-0.039309259,-0.016359031,0.035914532,0.056060516,-0.051576486,-0.063559213,-0.091856203,-0.19427485,-0.004708974,0.008192641,0.02135285,0.156701793,-0.014282457,0.070464085,0.043382462,0.089921471,0.059096255,0.004160461,-0.004400736,-0.032952019,-0.155505756,-0.045674314,-0.114530457,-0.009915491,-0.017356989,-0.090291053,0.088890788,0.02785086,0.116360344,0.010334017,0.091945
VNG0031H,0.051476492,0.004779392,-0.105187129,-0.051959234,0.042741051,-0.104081536,-0.098106638,-0.021569531,-0.227164788,0.015021494,0.033315932,-0.064931956,0.124122437,-0.038126305,-0.045929225,-0.019563291,-0.005759559,-0.070220738,0.028713338,0.041669263,0.084498165,-0.162106506,-0.07429817,-0.059797141,-0.040924617,-0.075545095,-0.022053465,-0.084520685,-0.03362884,0.022381529,-0.037974738,-0.082107964
VNG0032H,-0.131144227,0.017976739,0.083026468,0.085639109,-0.004357406,0.01549847,-0.214932657,-0.288302091,-0.116416942,-0.584728201,-0.291460541,-0.323949945,-0.227865917,-0.312466882,-0.21629799,-0.272604502,-0.243156051,0.014223113,0.092745547,0.042041108,-0.002175453,0.023689814,0.062414987,-0.232719992,-0.337549543,-0.237077431,-0.253050589,-0.228642188,-0.280751927,-0.258581027,-0.363336085,-0.55197017
VNG0033H,0.420100183,0.047625141,0.014059064,-0.003025659,0.006866044,0.004980877,-0.02607824,0.05530578,-0.015526166,-0.240525706,-0.126287556,-0.001217312,-0.182653199,-0.135376742,-0.165804222,-0.099178951,-0.183298869,-0.033968478,0.054290744,0.069740543,-0.25358042,0.184572173,0.378641316,0.196131096,-0.180019782,-0.118853017,-0.033632451,-0.042335577,-0.210702248,-0.281485678,-0.25772686,-0.253634715
VNG0034H,0.218339725,-0.05857995,-0.116548846,-0.122198831,-0.032727606,0.369608893,-0.823179811,-0.455305807,-0.42463929,-1.375416138,-0.906808394,-1.174571334,-1.247639775,-1.238944498,-1.049653681,-1.24605645,-1.118521044,-0.214513264,-0.136965419,-0.458102784,0.142110905,0.674621069,-0.263895275,0.159053176,-0.592759191,-0.827041284,-0.372863469,-1.114765679,-1.106762631,-1.339570771,-1.474947242,-1.463855709
VNG0035C,0.026025137,-0.076615385,-0.028370303,-0.014334175,-0.03833692,-0.07225881,-0.154369244,-0.007460295,-0.136728323,0.060656579,0.073814443,-0.049612125,0.085178358,0.007526499,0.038285741,0.059721792,0.001724734,-0.070235572,0.010996778,-0.047852504,0.077810827,-0.201745684,0.017285169,-0.192405675,-0.009165125,-0.071476903,-0.044512065,-0.078791174,0.006674602,0.124772975,0.097788747,0.07185167
VNG0037H,-0.086076529,-0.031213969,-0.039540543,-0.123882394,-0.037830215,-0.02863531,-0.123661443,-0.120313112,-0.023730206,-0.19382971,-0.081112828,-0.053333135,-0.029198086,-0.050987947,0.087936645,-0.074158267,-0.209723737,-0.052436566,0.063636278,0.025708715,0.017380391,-0.066625442,-0.056487019,-0.204966268,-0.150353403,-0.06041255,-0.076940345,-0.131192571,-0.153684568,-0.057815897,-0.113274005,-0.344014106
VNG0038H,-0.509474008,0.002113692,-0.07849562,0.035340762,0.077349704,-0.195063356,-0.151332319,-0.140892531,-0.268733181,0.179821282,0.16897158,0.066751466,0.202999459,-0.074136165,0.110434712,0.085780097,0.066545663,-0.074832427,0.007628728,-0.034021887,-0.04241706,-0.280115672,-0.11998802,-0.085506889,0.010305205,-0.078433976,0.005020818,-0.076548851,-0.061034601,0.218690667,-0.104402665,0.030874085
VNG0039H,-0.077743619,-0.007849049,0.025628679,0.108653993,-0.007651302,0.028181962,-0.166805535,-0.101871152,-0.072861039,-0.210379249,-0.045923919,-0.016501493,0.011471582,0.016325414,-0.019974146,0.065991978,0.007976487,-0.043537443,-0.009333397,-0.102933446,-0.087978082,-0.044811398,0.246846382,-0.135093325,-0.054139019,-0.22976875,-0.155100996,-0.258573883,-0.214273015,-0.124691935,-0.207191108,-0.369809085
